[Chart Version]
ProgID = KOSCOMCHART.KoscomChartCtrl.1
#ChartMode : DEV/HTS/FX/WORLDON
ChartMode = FX

# Comment mark : '#'
# Format :
#	Code ID ; Meta Text ; Other Meta Text ; English Text (Language ID 0) ; Korean Text (Language ID 1) ; Taiwan Text (Language ID 2) ;
#	Code ID is in MetaTable.h (-1 is Temp Meta Code)

### Packet Name Language Table ####################################################
[CodePage 0]
66;_KdqPureBuy_Organ_;코스닥순매수_기관;KosdaqPureBuy_Organ;코스닥순매수_기관;
67;_KdqPureBuy_Foreign_;코스닥순매수_외국인;KosdaqPureBuy_Foreign;코스닥순매수_외국인;
68;_K200PureBuy_DateTime_;K200순매수_자료일자;K200PureBuy_DateTime;K200순매수_자료일자;
69;_K200PureBuy_Person_;K200순매수_개인;K200PureBuy_Person;K200순매수_개인;
70;_K200PureBuy_Organ_;K200순매수_기관;K200PureBuy_Organ;K200순매수_기관;
71;_K200PureBuy_Foreign_;K200순매수_외국인;K200PureBuy_Foreign;K200순매수_외국인;
72;_FutPureBuy_DateTime_;선물순매수_자료일자;FuturePureBuy_DateTime;선물순매수_자료일자;
73;_FutPureBuy_Person_;선물순매수_개인;FuturePureBuy_Person;선물순매수_개인;
74;_FutPureBuy_Organ_;선물순매수_기관;FuturePureBuy_Organ;선물순매수_기관;
75;_FutPureBuy_Foreign_;선물순매수_외국인;FuturePureBuy_Foreign;선물순매수_외국인;
76;_COptPureBuy_DateTime_;콜옵션순매수_자료일자;CallOptionPureBuy_DateTime;콜옵션순매수_자료일자;
77;_COptPureBuy_Person_;콜옵션순매수_개인;CallOptionPureBuy_Person;콜옵션순매수_개인;
78;_COptPureBuy_Organ_;콜옵션순매수_기관;CallOptionPureBuy_Organ;콜옵션순매수_기관;
79;_COptPureBuy_Foreign_;콜옵션순매수_외국인;CallOptionPureBuy_Foreign;콜옵션순매수_외국인;
80;_POptPureBuy_DateTime_;풋옵션순매수_자료일자;PutOptionPureBuy_DateTime;풋옵션순매수_자료일자;
81;_POptPureBuy_Person_;풋옵션순매수_개인;PutOptionPureBuy_Person;풋옵션순매수_개인;
82;_POptPureBuy_Organ_;풋옵션순매수_기관;PutOptionPureBuy_Organ;풋옵션순매수_기관;
83;_POptPureBuy_Foreign_;풋옵션순매수_외국인;PutOptionPureBuy_Foreign;풋옵션순매수_외국인;
84;_OrganPureBuyAccumulation_DateTime_;기관순매수누적_자료일자;OrganPureBuyAccumulation_DateTime;기관순매수누적_자료일자;
85;_OrganPureBuyAccumulation_;기관순매수누적;OrganPureBuyAccumulation;기관순매수누적;
86;_KspPureBuy_;거래소순매수;KospiPureBuy;거래소순매수;
